,price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,desc,Price_sqft
3366,11500000,"Rohini Sector 13, New Delhi, Sector 13 Rohini, New Delhi - Rohini, Delhi NCR",925,28.722686,77.130362,2,2,2,Ready to Move,Resale,2,,,Near Sector 13 DDA market,Flat,"


                                Selling our 2 bhk flat in canara apartment. Located in rohini sector 13 the apartments are well known by all to be safe and occupied by families with high values. It is located near to a dda market, so you can get all your household needs with just a 2 minute walk. The flat is recently renovated and has 2 balconies. Parking is common for all.
                            
more

",12432.43243
3376,39500000,"Safdarjung Enclave New Delhi, Safdarjung Enclave, New Delhi - South, Delhi NCR",2800,28.49680519,77.22848511,3,3,2,Ready to Move,Resale,,Semi-Furnished,1,Near Aiims Trauma Centre,Flat,"


                                Truly spacious and extremely gorgeous, this beautifully furnished 3 BHK   Builder Floor is for sale in Safdarjung Enclave, New Delhi and is also a perfect home for those looking for such kind of residential flat. So, hurry up and make the most of this opportunity!!!This   Builder Floor is supported with round the clock water supply,  Power Back Up, Lift, Reserved Parking, Water Storage, Vaastu Compliant, Visitor Parking, Waste Disposal, Internet/Wi-Fi Connectivity, RO Water System, Piped GasLocal bus stops and the other modes of public transport lie within a short distance. Some of the top-rated schools, well-known hospitals, and local clinics are found within the vicinity. Leading shopping malls, supermarkets, popular hotels, banks, and ATM centers are also easily accessible within close proximity.
                            
more

",14107.14286
3379,5700000,"fateh nagar Nr.Tummy section Restourant, Fateh Nagar, New Delhi - West, Delhi NCR",900,28.63285828,77.1083374,2,2,,Ready to Move,New Property,,Furnished,,,Flat,"
                    
                    
                    
                       Third floor with Roof & Roof has also setup with 1 bedroom set
                    
                ",6333.333333
3382,4500000,"104 ground floor, Dilshad Colony, New Delhi - East, Delhi NCR",757,28.67925644,77.31336212,2,2,1,Ready to Move,Resale,,Semi-Furnished,,surakhsha nursing home,Flat,"
                    
                    
                    
                       main road, market, hospital,
                    
                ",5944.517834
3393,7900000,"Sri Niwaspuri, New Delhi - South, Delhi NCR",900,28.5625725,77.2602593,2,2,3,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",8777.777778
3405,5000000,"RZ-B-93, Block B, Dabri Extension, Dabri Extension, New Delhi - West, Delhi NCR",900,28.63480949,77.04905701,3,2,1,Ready to Move,Resale,1,Semi-Furnished,,Near by Chandary polyclinic,Flat,"


                                Well-sited in one of the prestigious residential locales of New Delhi with useful amenities nearby, this immaculately designed relatively new 3 BHK flat available for sale in Dabri Extension is the right place for happy living with your beloved family. Property SpecificationsAdvantageously located with good connectivity to several hospitals, markets, shopping malls, banks & ATMs, this residential property is truly worth renting. Furthermore, this residential flat is relatively new and is decked with good quality interiors, which makes it another benefit of choosing this property.Situated on the first floor of a 4-storey building, this east facing 3 BHK flat appointed with lights & fans has 3 alluring bedrooms furnished with trendy wardrobes, 2 bathrooms, a lovely balcony, spacious living & dining room, and a kitchen decked with gleaming granite slab and sink.Of the 2 bathrooms, one is connected to the bedroom while the other is common. Moreover, one of these bathrooms is western fashioned and the other is of Indian style. Overlooking the main road is the balcony that is common for both hall and one of the bedrooms. Sleek and stunning marble flooring are used in all the rooms to give this flat a classy look. FacilitiesCovered parking space is available for accommodating your vehicles. This residential complex is also supported with round the clock water supply, 100% power backup, security, reserved parking, waste disposal, and DTH television facility.LocalityThis well-planned residential building is located close to all your conveniences and other necessities which include grocery stores and stationery shops. Local bus stops as well as the other modes of public transport facilities lie within the short distance. Dabri Mor- Janakpuri South Metro Station is within just 10mins of walking distance from this premise. Some of the schools, well-known hospitals, and the local clinics are within the vicinity, while the Chandri Polyclinic is nearby this premise. Leading shopping malls, noted banks, ATMs, and the supermarkets are also situated close by from this residential property.
                            
more

",5555.555556
3407,2500000,"Block A 135 Street No 8, Bhagwati Garden, New Delhi - West, Delhi NCR",648,28.624732,77.0347285,2,2,,Ready to Move,Resale,1,Furnished,,,Flat,"


                                Ready to move fully furnished two BHK with roof rights.. located in Bhagwati Garden Ext, only 5 mins walking distance from Dwarka mor metro station and 30 mins from International Airport. This property is Ideal for investment or daily living. It comes with car or bike parking, 24 hr water backup and more. If interested please contact undersigned.
                            
more

",3858.024691
3416,9500000,"Vikaspuri Block J, New Delhi - West, Delhi NCR",1060,28.64430809,77.08026123,3,3,1,Ready to Move,New Property,,Semi-Furnished,,,Flat,"
                    
                    
                    
                       3 BHK builder floor, with roof rights, stilt parking facility, No lift, 3 bedrooms, 3 washrooms, modular kitchen, lobby, washing area, balcony. East Facing.
                    
                ",8962.264151
3418,8000000,"101 f/7, Krishna Nagar-Safdarjung Enclave, New Delhi - South, Delhi NCR",936,28.5637503,77.189788,3,2,1,Ready to Move,Resale,,Unfurnished,,"Bhikaji cama place metro station, green fields school",Flat,"


                                property for sale in safdarjung enclave krishna nagar new delhi. This 3 bhk independent house is located in delhi most promising location. This property is posted by owner and there is no bokerage involved. This independent house price is Rs 80.0lacs and also negotiable. the build area is 936 sq feet . The property has 3 bedrooms and 2 bathrooms. This property house is strategically located within close distance of famous healthcare centres such as safdarjung hospital, aiims new delhi, and sharp sight centre south delhi. schools like delhi public school, st. mary school are also nearby
                            
more

",8547.008547
3421,8500000,"Block-b, pocket-3, flat no-8., Sector 18 Rohini, New Delhi - Rohini, Delhi NCR",972,28.73693053,77.13773248,2,2,2,Ready to Move,Resale,2,Furnished,0,"Yellow metro line 250m awaymall, parks, green area,good schools.",Flat,"
                    
                    
                    
                       East facing, sunlight throughout the day, roof rights with opportunity to construct similar structure on the terrace,closer to delhi university, metro connectivity to all important places within delhi, good neighborhood.
                    
                ",8744.855967
3427,3500000,"Matiala, New Delhi - Dwarka, Delhi NCR",750,28.6088961,77.0498395,2,2,1,Ready to Move,Resale,2,Furnished,,Akash Hospital,Flat,"
                    
                    
                    
                       Its registered property near to all major needs like bazar, hospital, Gym etc.
                    
                ",4666.666667
3431,5500000,"E-92/1, Lane Number- 6, Shahin Bagh, Abul Fazal Enclave-2, Opposite Garden Public School, Okhla, Jamia Nager, New Delhi -59, Abul Fazal Enclave Part 2, New Delhi - South, Delhi NCR",1100,28.4966011,77.2288208,3,2,1,Ready to Move,Resale,1,Furnished,,Near Jamia Nagar,Individual House,"


                                Abul Fazal Enclave Part 2 offers you a unique blend of meticulous design, best of modern facilities in this 3 BHK Builder Floor waiting to be bought in New Delhi. So what are you waiting for??? Grab this amazing opportunity where you can experience an unmatched way of living in the midst of beautiful & verdant surroundings.  Property SpecificationsStructured on the super built-up area of 1100 sq ft, this well-engineered flat located on the third floor of low-rise experiences ample sunlight & fresh air all day long. The combination of this stunning flat encompasses 3 spacious bedrooms, 2 chic bathrooms, 1 balcony, a living cum dining area, and a modular kitchen. Installation of a decorative wardrobe, a dressing room, and two dressing mirrors in different bedrooms allure the beauty of the bedrooms. On the other hand, two bedrooms are provided with double beds & mattresses offering you a cozy ambiance to relax in. Enjoy the hot water bath to refresh oneself after long working hours in the stylish bathrooms. Here, the attached bathroom is of western fashion, while the common bathroom is of the Indian genre.The ground view & the wide-stretched road are visible from the well-ventilated balcony opening to the bedroom where you can enjoy the quality time with your loved ones. Spend some leisure time with your friends & relatives in the generously-sized living cum dining area adorned with a 6 seater dining table, sofa set with center table, TV unit with tv, crockery unit with crockery. Take pleasure in cooking with your children in the beautiful modular kitchen decked with a granite countertop, a sink, water purifier, washing machine, fridge, gas connection, gas stove, and basic utensils. Adding on to the aesthetic appearance of this gorgeous flat is the high-quality ceramic tiles flooring that is extremely durable, and is resistant to stains as well. FacilitiesPrime facilities such as the uninterrupted supply of water and sufficient covered space for parking one bike is also allocated in this society. Utility service providers like plumbers, electricians, etc.are also available within close proximity.LocalityVegetables, groceries, clothes, home decor, stationery, and other necessary items are easily available as many famous malls situated within the vicinity. Garden Public School, Hamdard Public School, and Zohra Public School are in the vicinity, making it a safer neighborhood to live in. Further, at an arm?s distance are the Apollo Hospital and the Holy Family Hospital where you can get specialized medical assistance. You can visit the nearest esteemed nationalized banks & ATM centers which are dotted in the close quarters itself.Abul Fazal Enclave Part 2 is a minute of short walking distance away from the bus stop and the Jasola Vihar Shaheen Bagh Metro Station available offering amazing shuttling services.
                            
more

",5000
3434,4000000,"Jf Block, Khirki Extension, Delhi South, Delhi  NCR, Khirki extension, New Delhi - South, Delhi NCR",650,28.5315337,77.216852,2,2,,Ready to Move,Resale,1,Furnished,0,Tikona Park,Flat,"
                    
                    
                    
                       Amenities includedAll furnished with beds, acs, sofas,fridge and kitchen utensils Tv Car parking space Spacious bathrooms
                    
                ",6153.846154
3439,14000000,"G - 8/13 Malviya Nagar New Delhi-110017, Malviya Nagar, New Delhi - South, Delhi NCR",1125,28.53483009,77.20977783,3,2,1,Ready to Move,New Property,,Unfurnished,,Bhagat Singh Park,Flat,"
                    
                    
                    
                       Builder floor apartment is available for sale. It covered area of 1125 sq-ft, it is a good location property. Please contact for moredetails.
                    
                ",12444.44444
3440,25000000,"I Block, Kirti Nagar, New Delhi - West, Delhi NCR",3600,28.634758,77.0491333,3,3,2,Ready to Move,Resale,2,Semi-Furnished,1,Near from Kirti Nagar Market,Flat,"


                                Up for sale is a marvelous 3BHK flat located in a preferred locale of Kirti Nagar, New Delhi. This garden facing flat is absolutely ready to move in with your beloved family. The flat is located at the dead-end of the street (cul de sac) and is therefore very secure and peaceful.Property SpecificationsThis 100% Vaastu compliant abode spans over the basement and ground floor and faces towards the north-east direction. The basement and the ground floor features a well-designed duplex unit that is interconnected through an internal staircase.The basement is spread over 1500sqft and features hall and 2 rooms with attached western bathrooms and pantry area. The hall is beautified with a chic sofa set and a beautiful center table. Furthermore, the basement is suitable for setting up an office space.The configuration of the ground floor comprises 3 well-organised bedrooms, 3 western style bathrooms, a hall, a storeroom, and a modular kitchen. All the 3 bedrooms are well furnished with a TV unit and spacious wardrobes for placing all your valuables.The western-style bathrooms are attached to the bedrooms and are fitted with geysers to ensure hot water supply. The kitchen is smartly designed and equipped with chimney, granite platform and sink. Both the floors are covered with marble flooring to give this abode a long-lasting shine.FacilitiesThe residents can easily park their vehicles, as ample covered parking space is allotted. Also, to carry out your day to day activities without any trouble, the flat comes with continuous water supply.LocalityThe occupants have access to Kirti Nagar Market located within walking distance from the flat. Moreover, you can quickly find the Adarsh School and Shemrock Planet which are the well-known schools found in the vicinity. Khetarpal Hospital and Kalra Hospital are few hospitals situated in the vicinity for fetching medical help easily.At a stretch of 1km distance, Kirti Nagar Metro Station is located to offer easy and hassle-free commuting. Plus, various public transport like autos, taxis, and local buses are easily found in the vicinity. One can easily find various banks and ATMs located in the vicinity.
                            
more

",6944.444444
3441,3500000,"hilltop apartment, ward no 8, Mehrauli, New Delhi - South, Delhi NCR",750,28.5201861,77.179158,2,2,,Ready to Move,Resale,1,Furnished,0,walking distance(1km) from qutub minar metro station.,Flat,"
                    
                    
                    
                       This is a 2 BHK flat in Mehrauli. It lies on fifth floor(top floor) and is well ventilated with natural lights. Its include the terrace right as well.
                    
                ",4666.666667
3445,30000000,"131 J Block Vikashpuri Delhi, Vikaspuri Block J, New Delhi - West, Delhi NCR",2800,28.61565399,77.09430695,5,5,2,Ready to Move,Resale,3,Semi-Furnished,1,Abhubhav Banqut,Flat,"


                                This spacious Builder Floor Apartment is located at 1st floor in a tower of total 5 floors.Vikaspuri Block J is a residential locality which is located along the Vikaspuri Flyover and Outer Ring Road in West Delhi. The development is primarily in the form of low-rise LIG, MIG, and HIG apartments developed in the form of Delhi Development Authority (DDA) Flats in 1980s. The sub locality is surrounded by Block GG 1, GG 2, JG 1, and Anand Kunj and Manohar Nagar of Vikaspuri, along with Krishna Park Extension and Tilak Nagar. The block is surrounded by a lot of green patches, including Cricket Ground and a District Park.Vikaspuri Block J is connected to other parts of Delhi with Outer Ring Road, Vikaspuri Marg, Vikaspuri Banks Road, Guru Virjanand Marg and Vardaman Market Road of Vikaspuri. The block is also served by two lines of the Delhi Metro. While Janakpuri West Metro Station, which acts as an intersection between Blue and Magenta Line, is 2 km from the sub-locality, Janakpuri West Metro Station is 3 km away. New Delhi Railway Station is 22 km from the sub-locality, and T1 and T3 terminals of IGI Airport are 16 and 21 km and takes about an hour to reach.""The nearest job hub to Vikaspuri Block J is the District Centre of Janakpuri, which is a hub of commercial activities in the region and is around 3 km from the sub-locality. One can commute to the employment hub of Connaught Place (CP), Noida and Gurgaon through metro through Blue and Magenta Line of the Delhi Metro. The locality has a developed local market, which hubs branches of banks like the Bank of India, ICICI Bank and Punjab National Bank.Source  Magicbricks Research""
                            
more

",10714.28571
3446,27000000,"63 Gulmohar Enclave New Delhi, Gautam Nagar, New Delhi - South, Delhi NCR",1800,28.55949261,77.21065851,3,4,2,Ready to Move,New Property,,,,Near Green Park Metro Station,Individual House,"
                    
                    
                    
                       3 BHK Duplex Flat Available for Sale in Gulmohar Enclave New Delhi
                    
                ",15000
3447,32500000,"Sri Nivaspuri New Delhi, Sri Niwaspuri, New Delhi - South, Delhi NCR",2880,28.49675179,77.22878265,6,5,2,Ready to Move,Resale,,Furnished,,Near Vinobapuri Metro Station,Flat,"


                                Hello...! Here is the most fascinating & enthralling 6BHK residential house available for sale and is situated in one of the upbeat locales of Sri Niwaspuri, New Delhi. So, why wait??? Hurry up and seize this property as soon as possible to enjoy the bliss of living a swish & tranquil lifestyle forever.Property Specifications Spanning across 2880sqft of a super area, this vaastu compliant residential abode offers airy & classy interiors and is completely ready to move in with your near & dear ones.  Meticulously designed and outstandingly planned, this fully furnished residential house is partitioned into the ground, first and second floors that are connected via an internal staircase.The ground floor configures a 2BHK unit, 1 common bathroom for the convenience of the occupants. The first floor encompasses a 2BHK unit, 2 bathrooms and 1 L-shaped balcony. The second floor includes a 2BHK unit and 2 bathrooms.Besides, all the units are affixed with top brand AC to enjoy a cool ambience all the time. Further, all the bathrooms are designed in Indian style and are outfitted with geysers for instant hot water supply.Furthermore, the regular kitchen is adorned with the shiny granite platform and sink unit to carry out your household chores quickly. Moreover, all the floors are embellished with the most superior quality tiles flooring to enhance the beauty in overall appearance.Facilities An open parking space is available for this residence to accommodate your vehicles systematically. A sufficient amount of water supply for 24hours is endowed in this house. To safeguard this residential building, a security guard with CCTV surveillance is installed for 24/7.Locality The most prominent Cambridge School is found within a distance of 1km from this residence. Within a periphery of 2km, you can access the Moolchand, Jeewan and National Heart Institute Hospitals for any medical issues. The shopping malls, local markets, grocery stores, chemical stores and daily need shops are available close by.Plenty of renowned banks and ATMs can be accessed within the shortest distance to meet your banking services. To commute to other parts of the city conveniently, you can avail the Moolchand, Kailash Colony & Govindpuri Metro Stations within 2km and different public transports like autos, taxis & buses within the close proximity of this residential abode.
                            
more

",11284.72222
3448,28000000,"Krishna Nagar, New Delhi - East, Delhi NCR",4230,28.68652534,77.29947662,8,3,1,Ready to Move,Resale,1,Furnished,,Opp To Gagan Vihar Gate No1,Flat,"


                                Located in a beautiful, serene and most preferred residential suburbs of New Delhi - Krishna Nagar, this stunning and exceptionally furnished 8BHK Penthouse is up for sale. Sprawling across a super area of 4230 sqft, this gorgeous condo with a lovely garden and lawn offers you an absolutely luxurious accommodation that any family could dream of living.  Property Specifications Featuring spacious 8 bedrooms, 8 bathrooms, living, dining, airy balconies, and a modular kitchen, this abode is skilfully planned with the intelligent use of the available space. Every minute detail of this residence is carefully selected and quality crafted to offer its residents a life of their dreams. The splendid combination of space, style, comfort, and luxury makes this dwelling a unique living paradise. Finely placed enjoy all the season of the year this abode is also bathed in sunlight and ventilation, thus, enjoying airy, cool and radiant interiors. Coming to the furnishing details of this residence, it is tucked in with each and every necessity that is required in a home. Right from beds with mattresses, wardrobes, side tables, etc., are all installed in the comfortable bedrooms. Ideal to relax, the hall cum dining is adorned with TV unit, sofa set center table, dining table, etc. Well-groomed with stylish sanitary fittings and accessories, all the bathrooms are well-sized and extremely lavish. Additionally, all the basic and modern electrical fittings such as ACs, fancy lights, and fans are installed in every room. The modular kitchen studded with all the lavish kitchen accessories such as cabinets, countertop, sink unit, microwave, and more will definitely impress the lady of your home. FacilitiesProvided with some of the basic facilities that are necessary to perform your household activities smoothly, this residence is worth considering. Few of them are an unrestricted supply of water, power backup, and security personnel ensuring the safety of the residents.Locality Anand Vihar railway station is just 4-5km from here and the Preet Vihar Metro Station is merely 15min walking distance away. Autos and taxis are widely available from this locality too. Max Super Speciality Hospital is 2.5km from here as well as you can find plenty of nursing homes many within the radius of 3km. Also, within a short distance, you can reach find super market, shops, market, and malls too. Your children can easily take quality education from the well-known schools that are hardly walking distance away from here. Availability of various banks and ATMs assure you quick monetary support whenever needed.
                            
more

",6619.385343
3452,3500000,"Nai Basti, Devoli, Devli, New Delhi - South, Delhi NCR",720,28.4957949,77.2367195,2,2,1,Ready to Move,Resale,1,Semi-Furnished,1,Near Ambedkar Murti Devli,Flat,"
                    
                    
                    
                       This property is in Devli Nai Basti and the flat is under gated society we have 24 x 7 Security guard and Camera facility.
                    
                ",4861.111111
3453,1850000,"Sewak Park, New Delhi - Dwarka, Delhi NCR",540,28.6163155,77.0342115,2,2,1,Ready to Move,Resale,,Unfurnished,,,Flat,"
",3425.925926
3487,3400000,"RZF - 907/1, Mahatma Gandhi Marg, Raj Nagar, Raj Nagar, New Delhi - South, Delhi NCR",630,28.5797444,77.083709,2,2,1,Ready to Move,Resale,1,Semi-Furnished,0,,Flat,"


                                Builder Floor Apartment is located at the advantageous 2nd floor in a tower of total 3 floors. The age of construction for this apartment Builder Floor Apartment is Less than 5 years. The location has easy access to, State Bank of Travancore (2 km ), Vardhman Mahavir Medical College (4 km ), Suvidha Market (4 km ) and Jai Prakash Narayan Trauma Centre (4 km ).
                            
more

",5396.825397
3497,10000000,"Malviya Nagar, New Delhi - South, Delhi NCR",900,28.5348305,77.2097741,2,2,,Ready to Move,Resale,,Furnished,,,Flat,"
",11111.11111
3499,35000000,"H-275 upper ground floor Vikaspuri New Delhi 110018, Vikaspuri, New Delhi - West, Delhi NCR",2549,28.63474274,77.0491333,4,4,2,Ready to Move,New Property,6,Furnished,1,Near Gurudwara H block,Individual House,"


                                Vikaspuri is a sought-after locality in West Delhi. The development is primarily in the form of Delhi Development Authority (DDA) LIG, MIG, and HIG apartments developed in 1980s. Some of the private developers such as Batra & Associates Builders, Anil Suri Group and Abhishek Buildwell Pvt Ltd have also developed builder floors in the area.Vikaspuri is well connected with other parts of Delhi via outer ring road, Najafgarh road, and Shivaji Marg, and it merely takes half an hour to reach IGI International Airport and New Delhi railway station. The connectivity has significantly improved with the DMRC (rapid transit system) projects.Janakpuri?sWestend Mall, which is near Vikaspuri, gives plenty of options dine out. Vikaspuri also has PVR multiplex and leading retailers such as Music World and Reliance. The locality has many prominenteducational institutions like Oxford Sr. Sec School and St. Kabir Modern School, and higher education institutions like Swami Vivekananda Institute of Management and Technology, and Baba Saheb Ambedkar Institute of Technology & Management. For medical needs, the locality has Jeevan Jyoti Hospital and Gupta Hospital to take care of the locals.
                            
more

",13730.87485
3500,3800000,"flat no.1, 4F, Gali no.1, Major Bhola Nath Enclave, sector123, Dwarka, Pochanpur Colony, New Delhi - Dwarka, Delhi NCR",750,28.50094223,77.2335968,2,2,2,Ready to Move,Resale,2,Semi-Furnished,,Near Bachat Bazar,Flat,"
                    
                    
                    
                       Airport metro station sector 21 less than 1 km,Sports ground,,shopping mall,schools,golf course,bus stand, Embassy area at walking distance.
                    
                ",5066.666667
3517,4400000,"Shakarpur, New Delhi - East, Delhi NCR",750,28.62879944,77.2800827,2,2,1,Ready to Move,Resale,,Unfurnished,,,Flat,"
",5866.666667
3518,3200000,"A1/16, Pipal Road Mohan Garden delhi, Mohan Garden, New Delhi - West, Delhi NCR",600,28.6330645,77.0331715,2,2,1,Ready to Move,Resale,,Unfurnished,,Metro pillar no 753,Flat,"
                    
                    
                    
                       roof right where you can create your own garden.
                    
                ",5333.333333
3522,2600000,"Q-199, block- Q Mohan Garden, New Delhi, Mohan Garden, New Delhi - West, Delhi NCR",630,28.63306427,77.03317261,2,2,1,Ready to Move,New Property,,Furnished,,,Flat,"
                    
                    
                    
                       car parking,sweet water,lift,loan facility available and registry.
                    
                ",4126.984127
3543,2700000,"RZ-40/1, street no. 5, Dada Chhatri wala road, Raj Nagar part 1, Palam colony, ND'45, Palam Colony, New Delhi - Dwarka, Delhi NCR",535,28.5922718,77.0836792,2,2,1,Ready to Move,Resale,,Unfurnished,,opp. shekhawat book depot,Flat,"
                    
                    
                    
                       near to metro stn,bus stand, market, main road,  hospital etc
                    
                ",5046.728972
3553,3900000,"A 25 Gali no 2 4th floor guru ramdas nagar laxmi nagar Delhi 92 near Balaji rashoi, Guru Ramdas Nagar, New Delhi - East, Delhi NCR",675,28.63773537,77.27664948,2,2,1,Ready to Move,Resale,1,Furnished,,near Balaji rashoi,Flat,"
                    
                    
                    
                       It is a 2 bed room apartment situated in Laxmi Nagar. It offers an area of 675 Sq-ft. Expected price of the Flat is approx 40 Lac.
                    
                ",5777.777778
3566,4500000,"West Rohtash Nagar, New Delhi - East, Delhi NCR",900,28.68012,77.285418,2,2,1,Ready to Move,Resale,,Unfurnished,,,Flat,"
",5000
3568,2600000,"Plot No 55 A 3rd Floor gurudev apartmentBurari Delhi 84, Sant Nagar Burari, New Delhi - North, Delhi NCR",540,28.75633049,77.19319916,2,2,1,Ready to Move,New Property,1,Unfurnished,1,This property is close to a large government hospital coming up nearby,Flat,"
                    
                    
                    
                       One side is facing road with terrace right for all around view and sun light.
                    
                ",4814.814815
3571,6000000,"Sector 25 Rohini, New Delhi - Rohini, Delhi NCR",862,28.73449707,77.09424591,3,4,2,Ready to Move,Resale,8,Furnished,,,Flat,"
                    
                    
                    
                       Builder floor apartment is available for sale. It covered an area of 862 sq-ft, it is a good location property. Please contact for more details.
                    
                ",6960.556845
3590,13500000,"Ramesh Nagar, New Delhi - West, Delhi NCR",1450,28.649336,77.134317,3,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",9310.344828
3595,3100000,"L Shape with Parking, Mahavir Enclave Part 1, New Delhi - Dwarka, Delhi NCR",576,28.5980365,77.0765245,2,2,3,Ready to Move,Resale,,Unfurnished,,Dashrath Puri Metro Station,Flat,"
                    
                    
                    
                       L Shape, 2 Side Open, Covered Parking, Enough Sun Light, Open Air, Chimney, Well Constructed.Near By Metro 5 Minutes Magenta Line. Close to Main Market.
                    
                ",5381.944444
3596,4500000,"Rani Bagh-Pitampura, New Delhi - West, Delhi NCR",650,28.6899395,77.1326559,2,2,,Ready to Move,Resale,,Semi-Furnished,,,Individual House,"
",6923.076923
3598,3200000,"Sadh Nagar, New Delhi - South, Delhi NCR",622,28.5894323,77.0932907,2,2,2,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",5144.694534
3610,35000000,"C6 and 7 Flat Number 6100 1st floor Vasant kunj New delhi, Vasant Kunj, New Delhi - South, Delhi NCR",3000,28.5339195,77.1502521,5,6,1,Ready to Move,Resale,2,,,Near Delhi Public School,Flat,"
                    
                    
                    
                       Apartment for Sale in Vasant Kunj New Delhi
                    
                ",11666.66667
3611,12000000,"79, Sant Nagar East of Kailash, Sant Nagar - East of Kailash, New Delhi - South, Delhi NCR",1200,28.5543715,77.251878,3,2,2,Ready to Move,Resale,1,Unfurnished,1,"Near post office, walking distance from Nehru place metro station",Flat,"
                    
                    
                    
                       New construction, with left and one car parking, ready to move in second floor property in prime location
                    
                ",10000
3612,18500000,"B-55, Pocket-A, Himgiri Apartment, Klakaji Extention, New Delhi, Kalkaji Extention, New Delhi - South, Delhi NCR",2300,28.529182,77.266638,3,2,2,Ready to Move,Resale,1,,,nearby Govind Puri Police Station,Flat,"


                                Truly gorgeous and studded with attractive interiors, here is the most fabulous 3BHK builder floor available for sale and is located in one of the friendly societies named as Himgiri Apartment in Kalkaji Extention, New Delhi. Hurry up and grab this great opportunity of buying this property…!Property SpecificationsApproved by RWA/Co-operative Housing Society, this adorable builder floor comes with freehold ownership right and is sprawled across 2300sqft of a super area & 2100sqft of a carpet area.With its most auspicious east direction, this ready to move in builder floor is aged less than 5 years and is ideally positioned on the 1st floor of the 2-storeyed building.Skillfully designed to match the living needs of the family, this furnished builder floor encompasses 3 bedrooms, 2 bathrooms, balconies on three sides for complete ventilation, a hall with a 7 seater sofa set & AC, a lobby with 2 ACs and a well-configured kitchen. All the bedrooms are well-furnished with trendy wardrobes, 3 ACs and 3 double beds. The bathrooms are attached to the bedrooms of which, 1 is fashioned in western theme and the other is designed in an Indian style. Overlooking the patch of greenery (garden), 1 balcony is connected to one of the bedrooms, 2nd balcony is aligned with the hall and the 3rd balcony is utility area linked with the kitchen. The kitchen is adorned with the sleek platform, sink, cabinets and chimney that drives away the strong fumes & odour. Further, 1 bedroom is decked with wooden flooring whereas the rest of the rooms are embellished with the ceramic tiles flooring. FacilitiesOne open parking space is available for this residence to accommodate your vehicles comfortably. Round the clock water supply, garden and 100% power backup facilities are provided here. A security guard is appointed and CCTV cameras are installed in this society.LocalityMany prominent schools can be availed within a walkable distance from this builder floor. Within 5mins drive, you can access many reputed hospitals for any medical aid. The local market is available within 2 to 3mins walking distance to buy your daily needs. Plenty of well-known banks and ATMs are found nearby to meet your banking services. Several means of transportation like autos, buses & taxis within the proximity of this residential property.  

more

",8043.478261
3617,11000000,"c 40 top floor, Krishna Nagar, New Delhi - East, Delhi NCR",1550,28.6537366,77.286549,3,3,2,Ready to Move,Resale,,,,,Individual House,"
                    
                    
                    
                       this house is along with terris and 24*7 water supply
                    
                ",7096.774194
3639,6500000,"Dabri, New Delhi - West, Delhi NCR",990,28.608659,77.0906009,3,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",6565.656566
3645,6500000,"Shahdara, New Delhi - East, Delhi NCR",900,28.6824955,77.2671263,3,2,,,Resale,,Semi-Furnished,,,Flat,"
",7222.222222
3646,9500000,"Syal Bhawan, 1688, Gali Number 20, Rajgarh Colony, near Lal Quarter, Krishna Nagar., Rajgarh Colony, New Delhi - East, Delhi NCR",1100,28.66072273,77.27618408,3,2,1,Ready to Move,New Property,,Furnished,,Lal Quarter Krishna Nagar,Individual House,"


                                *Newly Constructed Property**Modular Kitchen**Wooden Almirah in all rooms**False Ceiling on the entire Floor**24*7 MCD Water Supply**Covered Parking**Lift**100% Compliant To All Government Rules And Regulations**2 side open**200 Mtrs From Lal Quarter Market**1.5 kms from Krishna Nagar Metro Station**1 Km from the renowned Gandhi Nagar Market*We Are Keen To Sell 1 Or All Floors Out Of 3 Floors we Own in Rajgarh Colony near chachi building Lal Quarter Market Krishna Nagar.Price kept at Rs. 99 Lac for each floor which is negotiable.Search for ""SYAL Bhawan"" in Google Ma
                            
more

",8636.363636
3651,20500000,"A-Block, DDA plots, Sector-19 Dwarka, Delhi Dwarka, Delhi / NCR., Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR",1980,28.6347599,77.04908752,4,3,2,Ready to Move,Resale,1,Semi-Furnished,,Near Vardhman Crown Mall and St. Marys School,Flat,"


                                Independent builder floor is freehold on 250 sq yard plot. It is having a large Drawing cum Dining hall, 4 bedrooms with 3 attached bathrooms, a huge spacious balcony at front and a large balcony at back side fully covered with grill. Wooden works are done in the kitchen.It is surrounded by 3 big and well maintained parks.Nearby all amenities, shopping mal, local market, mother dairy, ATM, nursery schools, international schools, Delhi Government Health Center.   Municipal Water Supply and dedicated large water tank at terrace. Near to Indira Gandhi International Airport. Home loan available.
                            
more

",10353.53535
3657,3500000,"Uttam Nagar West, New Delhi - West, Delhi NCR",741,28.621767,77.055846,3,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",4723.346829
